protein,carb,fat,sugar,fiber,age_group,label,glycemic_index,eco_score
35.95,271.54,87.22,62.34,22.59,10-15,bad,71.77,69.25
67.37,259.54,61.85,27.03,19.29,25-30,ok,74.14,36.93
48.69,270.38,76.71,15.68,25.3,30-35,ok,74.49,65.72
9.79,307.71,103.75,61.41,10.02,40-45,bad,51.86,41.73
53.12,294.86,56.86,19.99,19.3,15-20,ok,68.21,41.01
71.4,196.65,81.69,10.62,22.71,25-30,ok,54.03,33.67
76.9,290.75,58.99,22.88,30.25,30-35,ok,22.53,52.91
27.84,275.63,87.45,18.93,30.74,10-15,ok,41.34,66.26
37.37,241.73,101.88,25.29,25.22,35-40,ok,31.98,93.36
66.75,286.69,72.75,34.25,16.68,25-30,ok,41.29,39.04
55.27,256.44,105.23,0.0,30.68,20-25,ok,74.02,64.02
67.85,305.51,48.95,34.86,27.59,15-20,ok,82.12,80.29
2.44,217.04,150.97,65.57,12.15,15-20,bad,76.19,26.07
63.56,222.34,76.41,23.89,25.5,15-20,ok,24.48,62.68
35.36,270.46,99.0,58.56,7.84,30-35,bad,62.76,60.16
62.02,236.1,75.66,18.75,19.48,40-45,ok,55.48,78.75
76.66,272.06,81.02,29.31,14.99,30-35,ok,78.63,50.58
37.59,229.66,101.82,55.2,18.4,40-45,bad,36.59,36.28
31.26,329.23,89.26,13.76,23.02,20-25,ok,63.3,52.76
24.03,245.66,117.76,34.88,7.23,35-40,bad,67.68,25.84
58.5,309.46,56.1,17.53,26.01,25-30,ok,68.35,57.93
49.03,329.4,117.72,59.93,11.19,10-15,bad,70.39,78.48
4.53,139.28,81.12,45.35,23.36,20-25,bad,38.46,44.22
29.09,294.9,132.48,69.58,12.69,35-40,bad,85.16,62.97
73.58,251.45,101.35,28.46,29.54,35-40,ok,73.03,86.63
40.46,285.67,56.79,61.37,24.07,15-20,bad,53.1,42.88
66.84,244.1,71.34,16.73,38.38,25-30,ok,66.87,64.39
11.05,378.68,130.62,64.77,14.62,10-15,bad,66.68,53.74
59.95,226.71,70.39,35.63,24.25,40-45,ok,55.28,44.85
50.34,194.6,92.39,14.74,24.29,40-45,ok,77.87,55.83
40.21,310.38,132.36,71.0,1.64,20-25,bad,81.89,34.15
44.89,318.34,70.95,36.1,37.29,25-30,ok,90.53,51.11
61.56,235.3,104.18,38.87,0.0,45-50,bad,56.69,44.83
37.64,224.46,63.48,28.83,18.82,25-30,ok,52.45,22.69
43.76,295.7,110.92,45.77,13.19,35-40,bad,89.03,86.17
46.25,214.69,68.24,27.24,27.44,25-30,ok,50.05,68.06
47.77,328.37,57.36,23.97,27.07,20-25,ok,55.41,67.71
35.08,338.39,80.64,40.56,14.12,35-40,bad,64.71,90.76
52.32,234.06,50.86,41.77,20.97,40-45,ok,67.24,54.94
57.17,298.69,76.15,32.14,19.6,10-15,ok,68.86,85.4
9.28,275.67,67.12,11.33,21.32,45-50,ok,68.01,28.56
32.36,189.47,50.35,25.08,9.66,10-15,ok,42.71,65.06
63.83,308.89,57.11,15.54,24.75,35-40,ok,78.85,36.05
37.73,336.67,91.29,41.83,15.39,45-50,bad,59.87,33.48
63.36,239.77,76.91,13.83,29.5,15-20,ok,74.41,52.66
54.28,284.81,75.89,4.73,25.36,25-30,ok,38.47,31.72
37.88,355.47,103.15,14.33,25.09,35-40,ok,69.64,63.79
60.35,294.64,65.44,23.1,23.65,20-25,ok,77.64,50.82
30.92,327.31,90.12,51.96,0.21,45-50,bad,40.26,30.52
32.56,291.02,91.4,19.1,23.39,40-45,ok,65.53,41.17
75.43,133.18,82.97,32.27,24.46,15-20,ok,70.74,65.64
7.37,315.4,83.92,19.0,13.18,15-20,ok,59.88,49.98
21.72,242.03,74.17,15.32,37.19,30-35,ok,60.38,95.07
59.16,248.9,72.95,30.66,23.94,25-30,ok,58.92,34.77
23.32,311.17,105.59,45.68,17.05,45-50,bad,42.32,37.72
29.61,263.94,139.19,52.57,18.42,35-40,bad,56.62,85.59
34.53,272.28,83.96,14.67,6.64,10-15,ok,85.88,68.6
26.08,263.04,79.3,60.18,11.63,40-45,bad,62.87,35.82
59.49,303.02,61.35,32.29,38.69,15-20,ok,66.56,53.08
41.59,302.36,83.01,20.59,21.43,45-50,ok,24.1,80.04
45.8,366.97,58.13,24.49,32.23,20-25,ok,85.99,13.96
59.82,242.26,81.91,23.85,28.74,45-50,ok,76.11,46.54
49.37,248.88,88.86,29.11,16.17,10-15,ok,51.9,58.94
27.67,319.83,152.2,54.93,21.87,15-20,bad,76.03,51.96
62.35,234.43,70.12,23.68,21.01,10-15,ok,52.81,98.89
50.32,292.17,58.86,17.66,20.65,15-20,ok,50.17,67.11
49.03,287.19,81.87,13.25,28.91,20-25,ok,25.28,63.06
62.3,318.91,55.59,21.67,30.69,25-30,ok,57.43,79.83
35.28,323.18,120.91,58.84,10.89,40-45,bad,47.29,70.94
48.71,428.61,173.91,78.78,9.07,10-15,bad,64.11,69.81
44.0,413.8,83.92,18.51,16.93,45-50,ok,44.09,70.0
54.04,357.52,108.13,29.95,22.06,35-40,ok,81.11,33.96
36.5,185.41,70.3,25.66,24.14,15-20,ok,58.45,80.25
51.69,271.86,69.61,27.97,20.1,15-20,ok,41.88,95.5
6.66,267.09,114.11,61.76,28.83,45-50,bad,64.91,36.43
69.23,310.76,76.63,42.8,34.9,20-25,ok,100.0,57.73
13.19,297.99,107.03,27.7,8.34,40-45,bad,59.36,17.37
44.93,273.63,84.29,61.84,27.4,30-35,bad,89.62,67.14
44.96,321.6,108.15,50.85,23.04,15-20,bad,68.7,54.02
53.19,268.51,66.36,26.65,17.97,15-20,ok,51.82,47.05
36.21,252.44,101.46,19.04,21.11,10-15,ok,67.39,58.44
38.79,216.38,99.97,24.97,45.83,30-35,ok,54.93,94.91
